dataset,IR,fold,rep,best_k,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1050_pc3,0.11404133998574484,4,0,1,0.2711864406779661,0.2962962962962963,0.25,0.5910714285714286,0.48273772826009187,0.5910714285714286
dataset_1059_ar1,0.08035714285714286,0,0,3,0.0,0.0,0.0,0.5,0.0,0.9565217391304348
dataset_1059_ar1,0.08035714285714286,1,0,1,0.6666666666666666,0.5,1.0,0.9782608695652174,0.9780192938436515,0.9782608695652174
dataset_1059_ar1,0.08035714285714286,2,0,1,0.0,0.0,0.0,0.5,0.0,0.5
dataset_1059_ar1,0.08035714285714286,3,0,1,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.75
dataset_1059_ar1,0.08035714285714286,4,0,1,0.0,0.0,0.0,0.5,0.0,0.5
dataset_1061_ar4,0.22988505747126436,0,0,1,0.3333333333333333,0.5,0.25,0.5972222222222222,0.485912657903775,0.5972222222222222
dataset_1061_ar4,0.22988505747126436,1,0,3,0.3333333333333333,0.5,0.25,0.5972222222222222,0.485912657903775,0.7291666666666667
dataset_1061_ar4,0.22988505747126436,2,0,1,0.5714285714285714,0.6666666666666666,0.5,0.7205882352941176,0.6859943405700354,0.7205882352941175
dataset_1061_ar4,0.22988505747126436,3,0,1,0.4,0.3333333333333333,0.5,0.6323529411764706,0.6183469424008423,0.6323529411764706
dataset_1061_ar4,0.22988505747126436,4,0,3,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.9117647058823528
dataset_1064_ar6,0.1744186046511628,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.611111111111111,0.5443310539518174,0.611111111111111
dataset_1064_ar6,0.1744186046511628,1,0,1,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5773502691896257,0.6666666666666666
dataset_1064_ar6,0.1744186046511628,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1064_ar6,0.1744186046511628,3,0,1,0.0,0.0,0.0,0.4117647058823529,0.0,0.4117647058823529
dataset_1064_ar6,0.1744186046511628,4,0,5,0.0,0.0,0.0,0.5,0.0,0.8137254901960784
dataset_1065_kc3,0.10361445783132531,0,0,3,0.46153846153846156,0.75,0.3333333333333333,0.6606425702811245,0.573861715987663,0.7771084337349398
dataset_1065_kc3,0.10361445783132531,1,0,1,0.6153846153846154,1.0,0.4444444444444444,0.7222222222222222,0.6666666666666666,0.7222222222222222
dataset_1065_kc3,0.10361445783132531,2,0,1,0.5,0.5714285714285714,0.4444444444444444,0.7041499330655957,0.654507591565088,0.7041499330655957
dataset_1065_kc3,0.10361445783132531,3,0,1,0.16666666666666666,0.25,0.125,0.5444277108433735,0.34710506725031165,0.5444277108433735
dataset_1065_kc3,0.10361445783132531,4,0,1,0.42857142857142855,0.5,0.375,0.6694277108433735,0.6012036120421518,0.6694277108433735
dataset_311_oil_spill,0.04575892857142857,0,0,1,0.631578947368421,0.6,0.6666666666666666,0.8221601489757915,0.8073221708359541,0.8221601489757914
dataset_311_oil_spill,0.04575892857142857,1,0,1,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.75
dataset_311_oil_spill,0.04575892857142857,2,0,1,0.46153846153846156,0.6,0.375,0.681913407821229,0.6089417507988115,0.6819134078212291
dataset_311_oil_spill,0.04575892857142857,3,0,1,0.5882352941176471,0.5555555555555556,0.625,0.8013268156424581,0.7816863306679174,0.8013268156424581
dataset_311_oil_spill,0.04575892857142857,4,0,1,0.6153846153846154,0.8,0.5,0.7472067039106145,0.7051288562458741,0.7472067039106145
dataset_312_scene,0.21811740890688258,0,0,7,0.7513812154696132,0.7157894736842105,0.7906976744186046,0.8612579281183932,0.858362667725367,0.9242571059431524
dataset_312_scene,0.21811740890688258,1,0,17,0.7849462365591398,0.7373737373737373,0.8390804597701149,0.8866288374799942,0.8853529506520462,0.9360250254619525
dataset_312_scene,0.21811740890688258,2,0,5,0.7029702970297029,0.6120689655172413,0.8255813953488372,0.8558286723579629,0.8552939954562563,0.9108036502796586
dataset_312_scene,0.21811740890688258,3,0,11,0.7486631016042781,0.693069306930693,0.813953488372093,0.8677362378569327,0.8660678924587576,0.9514277303503091
dataset_312_scene,0.21811740890688258,4,0,7,0.7083333333333334,0.6415094339622641,0.7906976744186046,0.8472475713865175,0.8453582414416213,0.928068884309685
dataset_316_yeast_ml8,0.014267729752412925,0,0,5,0.0,0.0,0.0,0.5,0.0,0.4758909853249476
dataset_316_yeast_ml8,0.014267729752412925,1,0,3,0.0,0.0,0.0,0.4989517819706499,0.0,0.5555555555555556
dataset_316_yeast_ml8,0.014267729752412925,2,0,1,0.0,0.0,0.0,0.4947589098532495,0.0,0.4947589098532495
dataset_316_yeast_ml8,0.014267729752412925,3,0,1,0.0,0.0,0.0,0.49369747899159666,0.0,0.49369747899159666
dataset_316_yeast_ml8,0.014267729752412925,4,0,5,0.0,0.0,0.0,0.5,0.0,0.4726890756302521
dataset_38_sick,0.06523580909347641,0,0,1,0.7209302325581395,0.775,0.6739130434782609,0.8306095541791869,0.8156950625251462,0.8306095541791868
dataset_38_sick,0.06523580909347641,1,0,5,0.75,0.8048780487804879,0.7021276595744681,0.8454141122731098,0.8331830613398056,0.9561545858877268
dataset_38_sick,0.06523580909347641,2,0,7,0.7901234567901234,0.9142857142857143,0.6956521739130435,0.8457074428887251,0.8322887090487423,0.9725804470646033
dataset_38_sick,0.06523580909347641,3,0,5,0.6746987951807228,0.7567567567567568,0.6086956521739131,0.7979918938835667,0.7752148060882751,0.956352861704741
dataset_38_sick,0.06523580909347641,4,0,1,0.6436781609195402,0.6829268292682927,0.6086956521739131,0.7951670351265046,0.7729935556598281,0.7951670351265046
dataset_450_analcatdata_lawsuit,0.07755102040816327,0,0,3,0.8571428571428571,1.0,0.75,0.875,0.8660254037844386,0.9974489795918368
dataset_450_analcatdata_lawsuit,0.07755102040816327,1,0,1,0.75,0.75,0.75,0.8647959183673469,0.8571428571428571,0.8647959183673469
dataset_450_analcatdata_lawsuit,0.07755102040816327,2,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dataset_450_analcatdata_lawsuit,0.07755102040816327,3,0,1,0.6666666666666666,0.6,0.75,0.8545918367346939,0.8481672919312798,0.8545918367346937
dataset_450_analcatdata_lawsuit,0.07755102040816327,4,0,3,0.8571428571428571,0.75,1.0,0.9897959183673469,0.989743318610787,0.979591836734694
dataset_463_backache,0.16129032258064516,0,0,9,0.0,0.0,0.0,0.4838709677419355,0.0,0.7387096774193549
dataset_463_backache,0.16129032258064516,1,0,3,0.4444444444444444,0.5,0.4,0.667741935483871,0.6117136163165708,0.6645161290322581
dataset_463_backache,0.16129032258064516,2,0,3,0.0,0.0,0.0,0.5,0.0,0.6193548387096773
dataset_463_backache,0.16129032258064516,3,0,3,0.2,0.2,0.2,0.535483870967742,0.41736500618415145,0.529032258064516
dataset_463_backache,0.16129032258064516,4,0,1,0.0,0.0,0.0,0.41935483870967744,0.0,0.41935483870967744
dataset_757_meta,0.11392405063291139,0,0,7,0.375,0.6,0.2727272727272727,0.6258373205741627,0.516706537536554,0.7492822966507178
dataset_757_meta,0.11392405063291139,1,0,1,0.2631578947368421,0.18518518518518517,0.45454545454545453,0.6114832535885167,0.591001096996205,0.6114832535885166
dataset_757_meta,0.11392405063291139,2,0,1,0.07692307692307693,0.06666666666666667,0.09090909090909091,0.4717703349282297,0.2784097012003857,0.4717703349282296
dataset_757_meta,0.11392405063291139,3,0,1,0.10526315789473684,0.1111111111111111,0.1,0.5078947368421053,0.30262013708347474,0.5078947368421053
dataset_757_meta,0.11392405063291139,4,0,3,0.13333333333333333,0.25,0.09090909090909091,0.5294970986460348,0.2966609798135022,0.7021276595744681
dataset_764_analcatdata_apnea3,0.13924050632911392,0,0,3,0.0,0.0,0.0,0.44936708860759494,0.0,0.48906789413118523
dataset_764_analcatdata_apnea3,0.13924050632911392,1,0,3,0.0,0.0,0.0,0.5,0.0,0.522439585730725
dataset_764_analcatdata_apnea3,0.13924050632911392,2,0,1,0.08,0.07142857142857142,0.09090909090909091,0.46317606444188725,0.2755891273047752,0.4631760644418872
dataset_764_analcatdata_apnea3,0.13924050632911392,3,0,3,0.0,0.0,0.0,0.5,0.0,0.48964326812428083
dataset_764_analcatdata_apnea3,0.13924050632911392,4,0,3,0.0,0.0,0.0,0.5,0.0,0.49712313003452246
dataset_765_analcatdata_apnea2,0.15571776155717762,0,0,3,0.0,0.0,0.0,0.4634146341463415,0.0,0.3935272045028143
dataset_765_analcatdata_apnea2,0.15571776155717762,1,0,5,0.0,0.0,0.0,0.5,0.0,0.3855534709193246
dataset_765_analcatdata_apnea2,0.15571776155717762,2,0,1,0.0,0.0,0.0,0.4329268292682927,0.0,0.4329268292682927
dataset_765_analcatdata_apnea2,0.15571776155717762,3,0,1,0.2222222222222222,0.21428571428571427,0.23076923076923078,0.548311444652908,0.44700378380860717,0.5483114446529082
dataset_765_analcatdata_apnea2,0.15571776155717762,4,0,5,0.0,0.0,0.0,0.5,0.0,0.5331325301204819
dataset_767_analcatdata_apnea1,0.1473429951690821,0,0,1,0.08695652173913043,0.1,0.07692307692307693,0.4835834896810507,0.26168740930281165,0.48358348968105064
dataset_767_analcatdata_apnea1,0.1473429951690821,1,0,7,0.0,0.0,0.0,0.5,0.0,0.42720883534136544
dataset_767_analcatdata_apnea1,0.1473429951690821,2,0,1,0.24390243902439024,0.1724137931034483,0.4166666666666667,0.5637550200803213,0.5442285723442157,0.5637550200803213
dataset_767_analcatdata_apnea1,0.1473429951690821,3,0,1,0.16,0.15384615384615385,0.16666666666666666,0.5170682730923695,0.3802345503146867,0.5170682730923696
