dataset,n_min,ir_ratio,n_votes,gmean
dataset_940_water-treatment,80,0.1789709172259508,7,0.6580198104744691
dataset_940_water-treatment,80,0.1789709172259508,10,0.6538805879770073
dataset_940_water-treatment,80,0.1789709172259508,15,0.6538805879770073
dataset_947_arsenic-male-bladder,24,0.044859813084112146,1,0.6511031433987089
dataset_947_arsenic-male-bladder,24,0.044859813084112146,2,0.7475246846729473
dataset_947_arsenic-male-bladder,24,0.044859813084112146,3,0.7192718697317328
dataset_947_arsenic-male-bladder,24,0.044859813084112146,5,0.7314070394748701
dataset_947_arsenic-male-bladder,24,0.044859813084112146,7,0.7277227759632956
dataset_947_arsenic-male-bladder,24,0.044859813084112146,10,0.7517055059002121
dataset_947_arsenic-male-bladder,24,0.044859813084112146,15,0.7517055059002121
dataset_949_arsenic-female-bladder,80,0.16701461377870563,1,0.710532714828482
dataset_949_arsenic-female-bladder,80,0.16701461377870563,2,0.7306083605366249
dataset_949_arsenic-female-bladder,80,0.16701461377870563,3,0.7367876582048145
dataset_949_arsenic-female-bladder,80,0.16701461377870563,5,0.7487396966495006
dataset_949_arsenic-female-bladder,80,0.16701461377870563,7,0.7443197390403355
dataset_949_arsenic-female-bladder,80,0.16701461377870563,10,0.7653578180169855
dataset_949_arsenic-female-bladder,80,0.16701461377870563,15,0.7653578180169855
dataset_950_arsenic-female-lung,19,0.03518518518518519,1,0.8417636718996201
dataset_950_arsenic-female-lung,19,0.03518518518518519,2,0.8329979372875528
dataset_950_arsenic-female-lung,19,0.03518518518518519,3,0.8057640668690794
dataset_950_arsenic-female-lung,19,0.03518518518518519,5,0.8141503153711103
dataset_950_arsenic-female-lung,19,0.03518518518518519,7,0.7581239232995205
dataset_950_arsenic-female-lung,19,0.03518518518518519,10,0.7461420286601642
dataset_950_arsenic-female-lung,19,0.03518518518518519,15,0.7461420286601642
dataset_951_arsenic-male-lung,13,0.023809523809523808,1,0.9842849273583589
dataset_951_arsenic-male-lung,13,0.023809523809523808,2,0.9870564239193088
dataset_951_arsenic-male-lung,13,0.023809523809523808,3,0.9842041788254481
dataset_951_arsenic-male-lung,13,0.023809523809523808,5,0.9577168183236363
dataset_951_arsenic-male-lung,13,0.023809523809523808,7,0.9265986323710905
dataset_951_arsenic-male-lung,13,0.023809523809523808,10,0.8680199886083999
dataset_951_arsenic-male-lung,13,0.023809523809523808,15,0.8680199886083999
dataset_954_spectrometer,55,0.11554621848739496,1,0.9096268602907852
dataset_954_spectrometer,55,0.11554621848739496,2,0.9045292719879328
dataset_954_spectrometer,55,0.11554621848739496,3,0.8896683300117687
dataset_954_spectrometer,55,0.11554621848739496,5,0.8850473517688654
dataset_954_spectrometer,55,0.11554621848739496,7,0.8781147014985443
dataset_954_spectrometer,55,0.11554621848739496,10,0.8838258839169694
dataset_954_spectrometer,55,0.11554621848739496,15,0.8838258839169694
dataset_958_segment,330,0.16666666666666666,1,0.9860010212247612
dataset_958_segment,330,0.16666666666666666,2,0.9842724456510845
dataset_958_segment,330,0.16666666666666666,3,0.9760751254790854
dataset_958_segment,330,0.16666666666666666,5,0.9702086047668524
dataset_958_segment,330,0.16666666666666666,7,0.9658145466480933
dataset_958_segment,330,0.16666666666666666,10,0.9638343332523167
dataset_958_segment,330,0.16666666666666666,15,0.9638343332523167
dataset_962_mfeat-morphological,200,0.1111111111111111,1,0.9890937758440568
dataset_962_mfeat-morphological,200,0.1111111111111111,2,0.9918641215827007
dataset_962_mfeat-morphological,200,0.1111111111111111,3,0.9918641215827007
dataset_962_mfeat-morphological,200,0.1111111111111111,5,0.9924200634774942
dataset_962_mfeat-morphological,200,0.1111111111111111,7,0.9924200634774942
dataset_962_mfeat-morphological,200,0.1111111111111111,10,0.9924200634774942
dataset_962_mfeat-morphological,200,0.1111111111111111,15,0.9924200634774942
dataset_966_analcatdata_halloffame,125,0.102880658436214,1,0.8747443034329556
dataset_966_analcatdata_halloffame,125,0.102880658436214,2,0.8733015305253966
dataset_966_analcatdata_halloffame,125,0.102880658436214,3,0.8849834455031147
dataset_966_analcatdata_halloffame,125,0.102880658436214,5,0.8756640698765684
dataset_966_analcatdata_halloffame,125,0.102880658436214,7,0.8713912630069751
dataset_966_analcatdata_halloffame,125,0.102880658436214,10,0.8695840460790734
dataset_966_analcatdata_halloffame,125,0.102880658436214,15,0.8695840460790734
dataset_968_analcatdata_birthday,53,0.16987179487179488,1,0.8981546828735452
dataset_968_analcatdata_birthday,53,0.16987179487179488,2,0.8743308855369518
dataset_968_analcatdata_birthday,53,0.16987179487179488,3,0.8499574500348756
dataset_968_analcatdata_birthday,53,0.16987179487179488,5,0.8372123287183362
dataset_968_analcatdata_birthday,53,0.16987179487179488,7,0.8436428540060513
dataset_968_analcatdata_birthday,53,0.16987179487179488,10,0.8791928825034265
dataset_968_analcatdata_birthday,53,0.16987179487179488,15,0.8791928825034265
dataset_971_mfeat-fourier,200,0.1111111111111111,1,0.9938682925872351
dataset_971_mfeat-fourier,200,0.1111111111111111,2,0.9947068887686668
dataset_971_mfeat-fourier,200,0.1111111111111111,3,0.9927478003741023
dataset_971_mfeat-fourier,200,0.1111111111111111,5,0.9930269451148087
dataset_971_mfeat-fourier,200,0.1111111111111111,7,0.9924651113292844
dataset_971_mfeat-fourier,200,0.1111111111111111,10,0.9916257254646839
dataset_971_mfeat-fourier,200,0.1111111111111111,15,0.9916257254646839
dataset_1056_mc1,68,0.0072355820387316454,1,0.8896067203200531
dataset_1056_mc1,68,0.0072355820387316454,2,0.8541877976225717
dataset_1056_mc1,68,0.0072355820387316454,3,0.8540164038563084
dataset_1056_mc1,68,0.0072355820387316454,5,0.8575624477963478
dataset_1056_mc1,68,0.0072355820387316454,7,0.8634094543187597
dataset_1056_mc1,68,0.0072355820387316454,10,0.8634094543187597
dataset_1056_mc1,68,0.0072355820387316454,15,0.8634094543187597
dataset_1002_ipums_la_98-small,791,0.11816552136241411,1,0.731799847080603
dataset_1002_ipums_la_98-small,791,0.11816552136241411,2,0.7360839789731408
dataset_1002_ipums_la_98-small,791,0.11816552136241411,3,0.7525791461428095
dataset_1002_ipums_la_98-small,791,0.11816552136241411,5,0.7511935070350052
dataset_1002_ipums_la_98-small,791,0.11816552136241411,7,0.7520405970068299
dataset_1002_ipums_la_98-small,791,0.11816552136241411,10,0.7581211981444363
dataset_1002_ipums_la_98-small,791,0.11816552136241411,15,0.7581211981444363
dataset_978_mfeat-factors,200,0.1111111111111111,1,0.985720467389305
dataset_978_mfeat-factors,200,0.1111111111111111,2,0.9885417571931925
dataset_978_mfeat-factors,200,0.1111111111111111,3,0.9860088545198714
dataset_978_mfeat-factors,200,0.1111111111111111,5,0.986005624303877
dataset_978_mfeat-factors,200,0.1111111111111111,7,0.9837514400725279
dataset_978_mfeat-factors,200,0.1111111111111111,10,0.9798597017746671
dataset_978_mfeat-factors,200,0.1111111111111111,15,0.9798597017746671
dataset_984_analcatdata_draft,32,0.09580838323353294,1,0.4796294357213128
dataset_984_analcatdata_draft,32,0.09580838323353294,2,0.4895772256969759
dataset_984_analcatdata_draft,32,0.09580838323353294,3,0.5012130649644353
dataset_984_analcatdata_draft,32,0.09580838323353294,5,0.5169753097968685
dataset_984_analcatdata_draft,32,0.09580838323353294,7,0.5277165871901982
dataset_984_analcatdata_draft,32,0.09580838323353294,10,0.6016134727313476
