dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1022_mfeat-pixel,0.1111111111111111,4,0,0.9876543209876543,0.975609756097561,1.0,0.9986111111111111,0.9986101452630162,1.0
dataset_1039_hiva_agnostic,0.03651960784313726,0,0,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.5654411764705882,0.36470061138927695,0.7155637254901961
dataset_1039_hiva_agnostic,0.03651960784313726,1,0,0.32432432432432434,0.8571428571428571,0.2,0.5993872549019608,0.4469394835554186,0.7834763071895425
dataset_1039_hiva_agnostic,0.03651960784313726,2,0,0.22727272727272727,0.35714285714285715,0.16666666666666666,0.5778186274509804,0.40599067892323465,0.7024101307189543
dataset_1039_hiva_agnostic,0.03651960784313726,3,0,0.2631578947368421,0.625,0.16666666666666666,0.5814950980392157,0.4074971430189756,0.7728758169934641
dataset_1039_hiva_agnostic,0.03651960784313726,4,0,0.2564102564102564,0.5,0.1724137931034483,0.583143171061528,0.41395330175982825,0.6951910074374578
dataset_1045_kc1-top5,0.058394160583941604,0,0,0.5,0.5,0.5,0.7314814814814814,0.693888666488711,0.7314814814814816
dataset_1045_kc1-top5,0.058394160583941604,1,0,0.0,0.0,0.0,0.5,0.0,0.7129629629629629
dataset_1045_kc1-top5,0.058394160583941604,2,0,0.0,0.0,0.0,0.5,0.0,0.7129629629629629
dataset_1045_kc1-top5,0.058394160583941604,3,0,0.0,0.0,0.0,0.5,0.0,0.4285714285714286
dataset_1045_kc1-top5,0.058394160583941604,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1049_pc4,0.1390625,0,0,0.36363636363636365,0.5263157894736842,0.2777777777777778,0.6213107638888888,0.5176989016578823,0.8630099826388888
dataset_1049_pc4,0.1390625,1,0,0.41935483870967744,0.5,0.3611111111111111,0.6551649305555556,0.5854685623498498,0.8541124131944444
dataset_1049_pc4,0.1390625,2,0,0.4642857142857143,0.65,0.3611111111111111,0.6668836805555556,0.5926524944406011,0.83837890625
dataset_1049_pc4,0.1390625,3,0,0.37037037037037035,0.5263157894736842,0.2857142857142857,0.6252790178571428,0.525042515285327,0.8376674107142857
dataset_1049_pc4,0.1390625,4,0,0.5614035087719298,0.7272727272727273,0.45714285714285713,0.7168526785714285,0.6681531047810609,0.8877790178571427
dataset_1050_pc3,0.11404133998574484,0,0,0.27906976744186046,0.5454545454545454,0.1875,0.5848532028469751,0.4291429844091776,0.7658474199288257
dataset_1050_pc3,0.11404133998574484,1,0,0.2608695652173913,0.42857142857142855,0.1875,0.5795151245551602,0.426804313132125,0.7951512455516014
dataset_1050_pc3,0.11404133998574484,2,0,0.2857142857142857,0.4117647058823529,0.21875,0.5915814056939501,0.459309593293133,0.8008229537366547
dataset_1050_pc3,0.11404133998574484,3,0,0.09523809523809523,0.2,0.0625,0.5169642857142858,0.24640269015229058,0.8114397321428571
dataset_1050_pc3,0.11404133998574484,4,0,0.13953488372093023,0.2727272727272727,0.09375,0.5325892857142858,0.3017804310611087,0.7316964285714286
dataset_1059_ar1,0.08035714285714286,0,0,0.0,0.0,0.0,0.5,0.0,0.891304347826087
dataset_1059_ar1,0.08035714285714286,1,0,0.0,0.0,0.0,0.5,0.0,0.9347826086956521
dataset_1059_ar1,0.08035714285714286,2,0,0.0,0.0,0.0,0.5,0.0,0.7272727272727273
dataset_1059_ar1,0.08035714285714286,3,0,0.0,0.0,0.0,0.5,0.0,0.659090909090909
dataset_1059_ar1,0.08035714285714286,4,0,0.0,0.0,0.0,0.5,0.0,0.6931818181818181
dataset_1061_ar4,0.22988505747126436,0,0,0.4,1.0,0.25,0.625,0.5,0.6041666666666666
dataset_1061_ar4,0.22988505747126436,1,0,0.4,1.0,0.25,0.625,0.5,0.6805555555555556
dataset_1061_ar4,0.22988505747126436,2,0,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.9558823529411764
dataset_1061_ar4,0.22988505747126436,3,0,0.5,0.5,0.5,0.6911764705882353,0.6642111641550714,0.6911764705882353
dataset_1061_ar4,0.22988505747126436,4,0,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.8676470588235294
